date,value
2024-01-01,0.4967141530112327
2024-01-02,0.358449851840048
2024-01-03,1.0061383899407406
2024-01-04,2.5291682463487657
2024-01-05,2.2950148716254297
2024-01-06,2.060877914676249
2024-01-07,3.640090730183641
2024-01-08,4.407525459336549
2024-01-09,3.938051073401597
2024-01-10,4.4806111169875615
2024-01-11,
2024-01-12,3.5514636706048424
2024-01-13,3.793425942170877
2024-01-14,1.8801456975130784
2024-01-15,
2024-01-16,25.0
2024-01-17,-1.4198907845753506
2024-01-18,-1.1056434519800766
2024-01-19,-2.0136675275012874
2024-01-20,-3.4259712288365787
2024-01-21,-1.9603224599150249
2024-01-22,-2.1860987604015603
2024-01-23,-2.1185705557136365
2024-01-24,-3.5433187419270933
2024-01-25,-4.087701466452276
2024-01-26,-3.9767788767424097
2024-01-27,-5.127772454164712
2024-01-28,-4.75207443581904
2024-01-29,-5.352713125737845
2024-01-30,-5.644406875531121
2024-01-31,-6.2461134877605184
2024-02-01,-4.3938353032515804
2024-02-02,
2024-02-03,-5.465043456945415
2024-02-04,-4.642498544842225
2024-02-05,-35.0
2024-02-06,-5.654478599808492
2024-02-07,-7.614148723688268
2024-02-08,-8.942334772586698
2024-02-09,-8.745473536717574
2024-02-10,-8.007006956722163
2024-02-11,-7.835638675532193
2024-02-12,-7.951286957920433
2024-02-13,-8.252390653509723
2024-02-14,-9.73091264387715
2024-02-15,-10.45075685227186
2024-02-16,-10.911395623231646
2024-02-17,-9.854273397012731
2024-02-18,-9.51065510744427
2024-02-19,-11.273695262807005
2024-02-20,-10.94961129341221
2024-02-21,-11.334693573828526
2024-02-22,-12.011615574134485
2024-02-23,-11.399939285293616
2024-02-24,-10.368939762797666
2024-02-25,-9.437659643681467
2024-02-26,-10.276877166904104
2024-02-27,-10.58608954275532
2024-02-28,-10.254826111351756
2024-02-29,
2024-03-01,30.0
2024-03-02,-9.944114198738504
2024-03-03,-11.050449172744532
2024-03-04,-12.246655796825202
2024-03-05,
2024-03-06,-10.07788994586018
2024-03-07,-10.149900067440514
2024-03-08,-9.14636716954849
2024-03-09,-8.784731144500856
2024-03-10,-9.42985089910598
2024-03-11,-9.068455293597568
2024-03-12,-7.5304187271315985
2024-03-13,-7.56624476624155
2024-03-14,-6.001601110427544
2024-03-15,-8.621346214517288
2024-03-16,-7.799443710142064
2024-03-17,-7.712396641903893
2024-03-18,-8.011403992369761
2024-03-19,-7.919643215834259
2024-03-20,-9.907212130435152
2024-03-21,-10.126884018272664
2024-03-22,-9.769771446760917
2024-03-23,-8.2918774020194
2024-03-24,-8.810147620293048
2024-03-25,-9.618641223186236
2024-03-26,
2024-03-27,
2024-03-28,
2024-03-29,-9.406005243176052
2024-03-30,-8.892737810062696
2024-03-31,-40.0
2024-04-01,-7.827015270181768
2024-04-02,-8.529068364059121
2024-04-03,-8.85673051065689
2024-04-04,-9.248838663789048
2024-04-05,-10.712353611921166
2024-04-06,-10.41623333485659
2024-04-07,-10.1551780626767
2024-04-08,-10.15006460603424
2024-04-09,-10.384651739409389
